	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4	EC	10394	58874	48480						10394->58874	
1	sentences, 5	EC	66291	82307	16016	ZZ	64711	82821	18110	66291->82307	64711->82821	0.8843732744340144
2	TaGaPa, 6											
3	AhhhEeee, 7	EC	86805	106438	19633	ZZ	87259	106181	18922	87259->106181	86805->106438	0.9637854632506494
4	tongue and mouth, 8-9	EC	109634	121850	12216	ZZ	109195	121902	12707	109634->121850	109195->121902	0.9613598803808924
5	drift head, 12	EC	178943	212335	33392	ZZ	176530	214989	38459	178943->212335	176530->214989	0.868249304454094
6	straight head, 13	EC	232240	284832	52592	ZZ	225561	286022	60461	232240->284832	225561->286022	0.8698499859413507
7	geste, 14	EC	300907	310883	9976	ZZ	298382	312678	14296	300907->310883	298382->312678	0.697817571348629
8	turn, 15a	EC	354322	361813	7491	ZZ	354594	362448	7854	354594->361813	354322->362448	0.8883829682500616
9	updn, 15c	EC	380018	389340	9322	ZZ	378905	389431	10526	380018->389340	378905->389431	0.885616568497055
10	tilt, 15b	EC	365419	377994	12575	ZZ	365676	377684	12008	365676->377684	365419->377994	0.954910536779324
11	paper, 18	EC	448693	550697	102004	ZZ	448792	556097	107305	448792->550697	448693->556097	0.948800789542289
12	arms pro, 20	EC	558306	569594	11288	ZZ	558023	571253	13230	558306->569594	558023->571253	0.8532123960695389
13	arms sup, 19	EC	572312	583560	11248	ZZ	571603	584263	12660	572312->583560	571603->584263	0.8884676145339653
14	elbows, 21	EC	588907	592604	3697	ZZ	586398	592628	6230	588907->592604	586398->592628	0.5934189406099518
15	fingernose, 22	EC	594667	616743	22076	ZZ	595873	617297	21424	595873->616743	594667->617297	0.9222271321254971
16	tapping, 23	EC	645684	658655	12971	ZZ	645189	659762	14573	645684->658655	645189->659762	0.8900706786523022
17	hands, 24	EC	659500	664604	5104	ZZ	659900	665595	5695	659900->664604	659500->665595	0.7717801476620181
18	feet, 25	EC	617483	635436	17953	ZZ	617370	635884	18514	617483->635436	617370->635884	0.9696986064599762
19	stand frontal, 26	EC	665421	670464	5043	ZZ	665602	671180	5578	665602->670464	665421->671180	0.8442437923250564
20	walk Normal, 30	EC	691867	697430	5563	ZZ	693341	697296	3955	693341->697296	691867->697430	0.7109473305770267
21	walk Heels, 31	EC	712181	718812	6631	ZZ	711931	719445	7514	712181->718812	711931->719445	0.882486026084642
22	walk Tandom, 32	EC	744004	756820	12816	ZZ	745550	756854	11304	745550->756820	744004->756854	0.8770428015564202
