	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4					JV	16400	75100	58700		16400->75100	0
1	sentences, 5	ZZ	87719	106335	18616	JV	87300	106400	19100	87719->106335	87300->106400	0.9746596858638743
2	TaGaPa, 6	ZZ	111922	121389	9467	JV	112300	121300	9000	112300->121300	111922->121389	0.9506707510298933
3	AhhhEeee, 7	ZZ	123607	136768	13161	JV	125950	135950	10000	125950->135950	123607->136768	0.7598206823189727
4	tongue and mouth, 8-9	ZZ	139468	153861	14393	JV	140400	155300	14900	140400->153861	139468->155300	0.8502400202122284
5	drift head, 12	ZZ	169414	189020	19606	JV	171800	187800	16000	171800->187800	169414->189020	0.8160767112108538
6	straight head, 13	ZZ	215473	283152	67679	JV	221000	282800	61800	221000->282800	215473->283152	0.913134059309387
7	geste, 14	ZZ	288080	307289	19209	JV	287400	308200	20800	288080->307289	287400->308200	0.9235096153846154
8	turn, 15a	ZZ	310900	320330	9430	JV	310300	320100	9800	310900->320100	310300->320330	0.9172482552342971
9	updn, 15c	ZZ	327140	333160	6020	JV	327550	333250	5700	327550->333160	327140->333250	0.9181669394435352
10	tilt, 15b	ZZ	320840	327140	6300	JV	320450	327350	6900	320840->327140	320450->327350	0.9130434782608695
11	paper, 18	ZZ	386558	456857	70299	JV	385900	444600	58700	386558->444600	385900->456857	0.8179883591470891
12	arms pro, 20	ZZ	477224	487056	9832	JV	477500	487500	10000	477500->487056	477224->487500	0.929933826391592
13	arms sup, 19	ZZ	462827	475117	12290	JV	461200	475100	13900	462827->475100	461200->475117	0.8818710929079543
14	elbows, 21	ZZ	489163	495835	6672	JV	489600	496000	6400	489600->495835	489163->496000	0.9119496855345912
15	fingernose, 22	ZZ	501103	517957	16855	JV	498000	518000	20000	501103->517957	498000->518000	0.8427
16	tapping, 23	ZZ	530590	537800	7210	JV	530400	537400	7000	530590->537400	530400->537800	0.9202702702702703
17	hands, 24	ZZ	538180	542220	4040	JV	537850	542650	4800	538180->542220	537850->542650	0.8416666666666667
18	feet, 25	ZZ	543850	560040	16190	JV	543900	558900	15000	543900->558900	543850->560040	0.9264978381717109
19	stand frontal, 26	ZZ	567060	577380	10320	JV	568500	576500	8000	568500->576500	567060->577380	0.7751937984496124
20	walk Normal, 30	ZZ	612000	619480	7480	JV	604250	617950	13700	612000->617950	604250->619480	0.3906762967826658
21	walk Heels, 31	ZZ	628650	639650	11000	JV	621150	638750	17600	628650->638750	621150->639650	0.5459459459459459
22	walk Tandom, 32	ZZ	655930	666333	10403	JV	641800	666300	24500	655930->666300	641800->666333	0.4226959605429422
