	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4	CB	17217	73376	56159	QC	17828	79249	61421			
1	sentences, 5	CB	83907	95875	11968	QC	83809	96017	12208			
2	TaGaPa, 6											
3	AhhhEeee, 7	CB	101759	117118	15359	QC	101538	116877	15339			
4	tongue and mouth, 8-9	CB	121846	137790	15944	QC	121327	136419	15092			
5	drift head, 12	CB	147641	176297	28656	QC	156541	174501	17960			
6	straight head, 13	CB	183677	239181	55504	QC	180791	238579	57788			
7	geste, 14	CB	252441	264456	12015	QC	252061	264320	12259			
8	turn, 15a	CB	272830	280446	7616	QC	272530	281220	8690			
9	updn, 15c	CB	290701	296958	6257	QC	290278	296629	6351			
10	tilt, 15b	CB	283906	289538	5632	QC	283609	289539	5930			
11	paper, 18	CB	362279	450679	88400	QC	362372	446949	84577			
12	arms pro, 20	CB	485799	504022	18223	QC	488099	504788	16689			
13	arms sup, 19	CB	464507	482555	18048	QC	466029	482569	16540			
14	elbows, 21	CB	508410	518778	10368	QC	509190	518340	9150			
15	fingernose, 22	CB	523166	551326	28160	QC	523039	549858	26819			
16	tapping, 23	CB	555891	572355	16464	QC	556708	571489	14781			
17	hands, 24	CB	573631	583199	9568	QC	572618	583138	10520			
18	feet, 25	CB	587700	607443	19743	QC	586817	606956	20139			
19	stand frontal, 26	CB	616007	625787	9780	QC	615575	624776	9201			
20	walk Normal, 30	CB	671581	677229	5648	QC	671395	675965	4570			
21	walk Heels, 31	CB	689957	697317	7360	QC	689333	698193	8860			
22	walk Tandom, 32	CB	725187	739587	14400	QC	725643	741131	15488			
