	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4	JV	16900	84000	67100	CB	16840	82952	66112			
1	sentences, 5	JV	92200	114200	22000	CB	93230	113165	19935			
2	TaGaPa, 6	JV	119200	125700	6500	CB	118962	125410	6448			
3	AhhhEeee, 7	JV	132900	144000	11100	CB	133383	143895	10512			
4	tongue and mouth, 8-9	JV	147300	165200	17900	CB	147276	164572	17296			
5	drift head, 12	JV	186500	201600	15100	CB	186941	202013	15072			
6	straight head, 13	JV	219700	259900	40200	CB	221906	260434	38528			
7	geste, 14	JV	267200	321400	54200	CB	271443	314115	42672			
8	turn, 15a	JV	324400	337900	13500	CB	326696	335560	8864			
9	updn, 15c	JV	346900	353900	7000	CB	347522	354021	6499			
10	tilt, 15b	JV	338300	346600	8300	CB	339437	346284	6847			
11	paper, 18	JV	381800	465300	83500	CB	383342	466253	82911			
12	arms pro, 20	JV	514800	531300	16500	CB	515533	531229	15696			
13	arms sup, 19	JV	494500	511700	17200	CB	495361	511405	16044			
14	elbows, 21	JV	535100	544000	8900	CB	535442	543650	8208			
15	fingernose, 22	JV	547000	577100	30100	CB	556583	576035	19452			
16	tapping, 23	JV	584700	606000	21300	CB	589175	605000	15825			
17	hands, 24	JV	606300	613400	7100	CB	608845	611981	3136			
18	feet, 25	JV	619000	635400	16400	CB	620449	634754	14305			
19	stand frontal, 26	JV	635900	643300	7400	CB	637430	643174	5744			
20	walk Normal, 30	JV	679400	687700	8300	CB	680698	685530	4832			
21	walk Heels, 31	JV	699200	710700	11500	CB	701091	708995	7904			
22	walk Tandom, 32	JV	735200	751764	16564	CB	736336	750223	13887			
