	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4	ZZ	13990	66742	52752	CB	14084	66812	52728			
1	sentences, 5	ZZ	73345	100902	27557	CB	73400	100264	26864			
2	TaGaPa, 6											
3	AhhhEeee, 7	ZZ	104200	110904	6704	CB	104061	110813	6752			
4	tongue and mouth, 8-9	ZZ	112943	130371	17428	CB	113346	130370	17024			
5	drift head, 12	ZZ	149082	162276	13194	CB	150395	161787	11392			
6	straight head, 13	ZZ	174811	230260	55449	CB	175696	229996	54300			
7	geste, 14	ZZ	239273	244800	5527	CB	239953	257345	17392			
8	turn, 15a	ZZ	258213	269185	10972	CB	259639	268726	9087			
9	updn, 15c	ZZ	277516	287228	9712	CB	278207	287168	8961			
10	tilt, 15b	ZZ	269214	277516	8302	CB	270427	277643	7216			
11	paper, 18	ZZ	356894	454355	97461	CB	358793	445321	86528			
12	arms pro, 20	ZZ	470804	484506	13702	CB	471784	483895	12111			
13	arms sup, 19	ZZ	456758	470410	13652	CB	458418	470323	11905			
14	elbows, 21	ZZ	485923	491297	5374	CB	486876	490920	4044			
15	fingernose, 22	ZZ	494480	506621	12141	CB	493824	506220	12396			
16	tapping, 23	ZZ	515347	524449	9102	CB	516085	524384	8299			
17	hands, 24	ZZ	524730	529610	4880	CB	525220	530084	4864			
18	feet, 25	ZZ	531932	546184	14252	CB	532761	545513	12752			
19	stand frontal, 26	ZZ	549430	558596	9166	CB	551342	558350	7008			
20	walk Normal, 30	ZZ	587081	604699	17618	CB	596471	604647	8176			
21	walk Heels, 31	ZZ	606151	622676	16525	CB	614136	622280	8144			
22	walk Tandom, 32	ZZ	624971	650828	25857	CB	640153	648953	8800			
