	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4	EC	13441	95121	81680	JV	13000	91400	78400			
1	sentences, 5	EC	112469	134169	21700	JV	112000	134100	22100			
2	TaGaPa, 6	EC	139048	147907	8859	JV	138200	148000	9800			
3	AhhhEeee, 7	EC	154816	169676	14860	JV	153200	170300	17100			
4	tongue and mouth, 8-9	EC	197775	213725	15950	JV	197400	214200	16800			
5	drift head, 12	EC	230418	240099	9681	JV	229400	240600	11200			
6	straight head, 13	EC	268417	311917	43500	JV	263900	312300	48400			
7	geste, 14	EC	333106	342816	9710	JV	331000	345100	14100			
8	turn, 15a	EC	347740	365650	17910	JV	345800	367700	21900			
9	updn, 15c	EC	367823	386134	18311	JV	368200	386700	18500			
10	tilt, 15b	EC	387667	399797	12130	JV	387000	401500	14500			
11	paper, 18	EC	468131	561910	93779	JV	460500	561800	101300			
12	arms pro, 20	EC	581259	592579	11320	JV	582200	591600	9400			
13	arms sup, 19	EC	594398	604118	9720	JV	594550	604550	10000			
14	elbows, 21	EC	609177	621757	12580	JV	610000	621000	11000			
15	fingernose, 22	EC	624726	645075	20349	JV	624400	646600	22200			
16	tapping, 23	EC	659033	671473	12440	JV	658100	672300	14200			
17	hands, 24	EC	651589	655819	4230	JV	650200	657900	7700			
18	feet, 25	EC	675342	691702	16360	JV	675050	692250	17200			
19	stand frontal, 26	EC	715614	718334	2720	JV	694500	697800	3300			
20	walk Normal, 30	EC	730413	739073	8660	JV	730600	739200	8600			
21	walk Heels, 31	EC	751112	755962	4850	JV	750250	756550	6300			
22	walk Tandom, 32	EC	757085	770045	12960	JV	756850	770450	13600			
