	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4	ZZ	19957	56325	36368	CB	18981	54869	35888			
1	sentences, 5	ZZ	60167	80390	20223	CB	61753	80529	18776			
2	TaGaPa, 6											
3	AhhhEeee, 7	ZZ	82048	90135	8087	CB	83279	91200	7921			
4	tongue and mouth, 8-9	ZZ	95375	109137	13762	CB	95593	109333	13740			
5	drift head, 12	ZZ	123693	139369	15676	CB	129807	138965	9158			
6	straight head, 13					CB	149588	206550	56962			
7	geste, 14											
8	turn, 15a	ZZ	265135	284102	18967	CB	265796	284142	18346			
9	updn, 15c	ZZ	305012	313603	8591	CB	305696	314449	8753			
10	tilt, 15b	ZZ	289586	304641	15055	CB	287955	304549	16594			
11	paper, 18	ZZ	372173	558298	186125	CB	377700	544600	166900			
12	arms pro, 20	ZZ	575681	588881	13200	CB	577365	588277	10912			
13	arms sup, 19	ZZ	561415	575197	13782	CB	563330	575883	12553			
14	elbows, 21	ZZ	593244	602305	9061	CB	596758	602256	5498			
15	fingernose, 22	ZZ	608156	633825	25669	CB	608656	633852	25196			
16	tapping, 23	ZZ	638563	645272	6709	CB	639528	644783	5255			
17	hands, 24	ZZ	645272	649431	4159	CB	645397	649806	4409			
18	feet, 25	ZZ	654529	683690	29161	CB	657160	683364	26204			
19	stand frontal, 26	ZZ	686277	695467	9190	CB	686343	694265	7922			
20	walk Normal, 30	ZZ	725937	733643	7706	CB	724800	735100	10300			
21	walk Heels, 31	ZZ	748837	761223	12386	CB	749400	761700	12300			
22	walk Tandom, 32	ZZ	814120	838417	24297	CB	814400	839100	24700			
