	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4	ZZ	20655	69967	49312	JV	22000	69300	47300			
1	sentences, 5	ZZ	79660	95952	16292	JV	79600	95400	15800			
2	TaGaPa, 6	ZZ	100897	110018	9121	JV	100300	109700	9400			
3	AhhhEeee, 7	ZZ	114544	128359	13815	JV	114650	127750	13100			
4	tongue and mouth, 8-9	ZZ	131046	150894	19848	JV	132950	150450	17500			
5	drift head, 12	ZZ	184158	224234	40076	JV	185000	224500	39500			
6	straight head, 13	ZZ	230987	301032	70045	JV	242000	300200	58200			
7	geste, 14	ZZ	307694	320759	13065	JV	307700	321800	14100			
8	turn, 15a	ZZ	326236	337194	10958	JV	326200	339100	12900			
9	updn, 15c	ZZ	341568	351654	10086	JV	340600	352100	11500			
10	tilt, 15b					JV	426500	435200	8700			
11	paper, 18	ZZ	571179 435462	605256 531916	34077 96454	JV	571150 435900	597850 531800	26700 95900			
12	arms pro, 20	ZZ	532003	537670	5667	JV	534900	537500	2600			
13	arms sup, 19	ZZ	538461	541661	3200	JV	538750	541550	2800			
14	elbows, 21	ZZ	542706	546750	4044	JV	543400	546500	3100			
15	fingernose, 22	ZZ	550703	570330	19627	JV	550200	570600	20400			
16	tapping, 23	ZZ	610322	622546	12224	JV	609300	622100	12800			
17	hands, 24	ZZ	622546	632270	9724	JV	622750	633250	10500			
18	feet, 25	ZZ	640670	652893	12223	JV	636850	651750	14900			
19	stand frontal, 26	ZZ	653736	670040	16304	JV	660350	669150	8800			
20	walk Normal, 30	ZZ	732134	745200	13066	JV	719200	744000	24800			
21	walk Heels, 31	ZZ	762903	770912	8009	JV	751350	770950	19600			
22	walk Tandom, 32	ZZ	792408	806573	14165	JV	772200	806200	34000			
