	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4	ZZ	15898	57296	41398	CB	15104	57568	42464			
1	sentences, 5	ZZ	64882	80730	15848	CB	64901	80261	15360			
2	TaGaPa, 6	ZZ	82598	90263	7665	CB	83193	89689	6496			
3	AhhhEeee, 7	ZZ	92659	99792	7133	CB	93326	99566	6240			
4	tongue and mouth, 8-9	ZZ	101581	116617	15036	CB	101363	116499	15136			
5	drift head, 12	ZZ	146608	158369	11761	CB	144735	159455	14720			
6	straight head, 13	ZZ	164568	223031	58463	CB	165347	228675	63328			
7	geste, 14	ZZ	229670	239462	9792	CB	231528	239544	8016			
8	turn, 15a	ZZ	239521	248797	9276	CB	240029	248892	8863			
9	updn, 15c	ZZ	257603	267135	9532	CB	257879	266375	8496			
10	tilt, 15b	ZZ	248854	257563	8709	CB	249713	256546	6833			
11	paper, 18	ZZ	320111	425789	105678	CB	326471	410079	83608			
12	arms pro, 20	ZZ	434865	443370	8505	CB	435868	443272	7404			
13	arms sup, 19	ZZ	444162	454152	9990	CB	445080	451528	6448			
14	elbows, 21	ZZ	456025	465765	9740	CB	459405	464029	4624			
15	fingernose, 22	ZZ	465910	484587	18677	CB	466466	484241	17775			
16	tapping, 23	ZZ	494211	499440	5229	CB	495898	500010	4112			
17	hands, 24	ZZ	499886	507028	7142	CB	500751	506239	5488			
18	feet, 25	ZZ	511855	529749	17894	CB	513380	528372	14992			
19	stand frontal, 26	ZZ	553546	562783	9237	CB	557950	562013	4063			
20	walk Normal, 30	ZZ	585350	599346	13996	CB	593686	599062	5376			
21	walk Heels, 31	ZZ	603407	619814	16407							
22	walk Tandom, 32	ZZ	624398	648921	24523	CB	640242	646386	6144			
