	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4					QC	15320	76361	61041		15320->76361	0
1	sentences, 5					QC	83544	99736	16192		83544->99736	0
2	TaGaPa, 6					QC	105843	111264	5421		105843->111264	0
3	AhhhEeee, 7					QC	119178	127857	8679		119178->127857	0
4	tongue and mouth, 8-9					QC	131789	147271	15482		131789->147271	0
5	drift head, 12					QC	195364	207616	12252		195364->207616	0
6	straight head, 13					QC	216787	276666	59879		216787->276666	0
7	geste, 14											
8	turn, 15a					QC	296220	302367	6147		296220->302367	0
9	updn, 15c					QC	316118	323613	7495		316118->323613	0
10	tilt, 15b					QC	305794	314296	8502		305794->314296	0
11	paper, 18					QC	359936	432298	72362		359936->432298	0
12	arms pro, 20					QC	477696	492854	15158		477696->492854	0
13	arms sup, 19					QC	460630	473522	12892		460630->473522	0
14	elbows, 21					QC	497559	505331	7772		497559->505331	0
15	fingernose, 22					QC	514014	538333	24319		514014->538333	0
16	tapping, 23					QC	548674	564104	15430		548674->564104	0
17	hands, 24					QC	565761	570416	4655		565761->570416	0
18	feet, 25					QC	576671	594033	17362		576671->594033	0
19	stand frontal, 26					QC	599356	606063	6707		599356->606063	0
20	walk Normal, 30					QC	650526	657444	6918		650526->657444	0
21	walk Heels, 31					QC	675969	687249	11280		675969->687249	0
22	walk Tandom, 32					QC	715803	735353	19550		715803->735353	0
