	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4					JV	15500	82400	66900		15500->82400	0
1	sentences, 5	ZZ	90146	111130	20984	JV	89600	110900	21300	90146->110900	89600->111130	0.9639572689270784
2	TaGaPa, 6	ZZ	117669	124879	7210	JV	117300	124700	7400	117669->124700	117300->124879	0.9276949465628711
3	AhhhEeee, 7	ZZ	135278	143779	8501	JV	132700	143500	10800	135278->143500	132700->143779	0.7421247405000452
4	tongue and mouth, 8-9	ZZ	145828	164960	19132	JV	147000	165200	18200	147000->164960	145828->165200	0.9271112946520752
5	drift head, 12	ZZ	249107 204631	309072 232924	59965 28293	JV	213700	226000	12300	0->0 213700->226000	213700->309072 204631->232924	0.0 0.43473650726328067
6	straight head, 13					JV	249200	308300	59100		249200->308300	0
7	geste, 14	ZZ	322907	329072	6165	JV	324600	331400	6800	324600->329072	322907->331400	0.5265512775226657
8	turn, 15a	ZZ	335124	343465	8341	JV	334000	343400	9400	335124->343400	334000->343465	0.874379292128896
9	updn, 15c	ZZ	355895	363455	7560	JV	355800	363900	8100	355895->363455	355800->363900	0.9333333333333333
10	tilt, 15b	ZZ	346129	355492	9363	JV	344900	355400	10500	346129->355400	344900->355492	0.8752832326283988
11	paper, 18	ZZ	391567	528892	137325	JV	390700	496300	105600	391567->496300	390700->528892	0.7578803403959709
12	arms pro, 20	ZZ	556102	573108	17006	JV	556400	572800	16400	556400->572800	556102->573108	0.9643655180524521
13	arms sup, 19	ZZ	534622	553222	18600	JV	534900	553000	18100	534900->553000	534622->553222	0.9731182795698925
14	elbows, 21	ZZ	578635	588414	9779	JV	577900	588100	10200	578635->588100	577900->588414	0.9002282670724748
15	fingernose, 22	ZZ	594366	619450	25084	JV	595100	619200	24100	595100->619200	594366->619450	0.9607718067293892
16	tapping, 23	ZZ	630079	649636	19557	JV	628700	648100	19400	630079->648100	628700->649636	0.8607661444401987
17	hands, 24	ZZ	653037	656863	3826	JV	649500	656900	7400	653037->656863	649500->656900	0.5170270270270271
18	feet, 25	ZZ	667067	683634	16567	JV	665400	683700	18300	667067->683634	665400->683700	0.9053005464480874
19	stand frontal, 26	ZZ	683855	693002	9147	JV	684300	693000	8700	684300->693000	683855->693002	0.9511315185306658
20	walk Normal, 30	ZZ	738493	752948	14455	JV	738000	751900	13900	738493->751900	738000->752948	0.8969092855231469
21	walk Heels, 31	ZZ	763152	775030	11878	JV	802300 762900	813300 776600	11000 13700	0->0 763152->775030	763152->813300 762900->776600	0.0 0.867007299270073
22	walk Tandom, 32	ZZ	804392	813580	9188						804392->813580	
