	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4	EC	15877	56217	40340	ZZ	14850	57979	43129			
1	sentences, 5	EC	71568	82436	10868	ZZ	71060	82340	11280			
2	TaGaPa, 6											
3	AhhhEeee, 7	EC	82503	97021	14518	ZZ	82460	96641	14181			
4	tongue and mouth, 8-9	EC	99859	117182	17323	ZZ	99950	117125	17175			
5	drift head, 12	EC	147545	160314	12769	ZZ	147866	161485	13619			
6	straight head, 13	EC	185527	235645	50118	ZZ	177020	233950	56930			
7	geste, 14	EC	264271	284698	20427	ZZ	246940	285385	38445			
8	turn, 15a	EC	291450	307183	15733	ZZ	291860	306239	14379			
9	updn, 15c	EC	334828	351135	16307	ZZ	336580	350840	14260			
10	tilt, 15b	EC	314145	332636	18491	ZZ	311810	334399	22589			
11	paper, 18	EC	415324	485528	70204	ZZ	415320	499690	84370			
12	arms pro, 20	EC	520875	536304	15429	ZZ	520645	536599	15954			
13	arms sup, 19	EC	503454	516519	13065	ZZ	503524	517921	14397			
14	elbows, 21	EC	543305	552321	9016	ZZ	539712	551775	12063			
15	fingernose, 22	EC	555523	580948	25425	ZZ	555666	580959	25293			
16	tapping, 23	EC	586076	599223	13147	ZZ	586796	599600	12804			
17	hands, 24	EC	600253	605716	5463	ZZ	602750	605085	2335			
18	feet, 25	EC	610606	640562	29956	ZZ	610532	642829	32297			
19	stand frontal, 26	EC	640562	648285	7723	ZZ	642829	649055	6226			
20	walk Normal, 30	EC	677812	685928	8116	ZZ	679018	684855	5837			
21	walk Heels, 31	EC	699882	710936	11054	ZZ	699641	711704	12063			
22	walk Tandom, 32	EC	730007	743763	13756	ZZ	731160	744440	13280			
