	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4	EC	9035	72423	63388	ZZ	6930	71449	64519			
1	sentences, 5	EC	81345	100615	19270	ZZ	81572	100093	18521			
2	TaGaPa, 6	EC	103528	112514	8986	ZZ	102864	112730	9866			
3	AhhhEeee, 7	EC	119383	129959	10576	ZZ	119390	129685	10295			
4	tongue and mouth, 8-9	EC	132821	151221	18400	ZZ	132887	151305	18418			
5	drift head, 12	EC	164055	175293	11238	ZZ	163348	176033	12685			
6	straight head, 13	EC	198800	259300	60500	ZZ	199523	259548	60025			
7	geste, 14											
8	turn, 15a	EC	279435	288078	8643	ZZ	278870	288263	9393			
9	updn, 15c	EC	296844	304947	8103	ZZ	296792	304496	7704			
10	tilt, 15b	EC	289509	296789	7280	ZZ	289201	296753	7552			
11	paper, 18	EC	348800	469000	120200	ZZ	348973	474927	125954			
12	arms pro, 20	EC	491877	503420	11543	ZZ	476853	489700	12847			
13	arms sup, 19	EC	477672	489557	11885	ZZ	492390	503790	11400			
14	elbows, 21	EC	509843	518077	8234	ZZ	507720	517330	9610			
15	fingernose, 22	EC	523002	536311	13309	ZZ	524200	536100	11900			
16	tapping, 23	EC	546754	561612	14858	ZZ	547258	562074	14816			
17	hands, 24	EC	565326	570538	5212							
18	feet, 25	EC	577970	600871	22901	ZZ	578156	600882	22726			
19	stand frontal, 26	EC	604970	609598	4628	ZZ	603774	610126	6352			
20	walk Normal, 30	EC	655120	665932	10812	ZZ	656348	664822	8474			
21	walk Heels, 31	EC	684471	696507	12036	ZZ	686006	698333	12327			
22	walk Tandom, 32	EC	721996	735460	13464	ZZ	722213	737070	14857			
