	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4	EC	29709	94076	64367	QC	29509	94529	65020			
1	sentences, 5	EC	104809	121321	16512	QC	105019	121099	16080			
2	TaGaPa, 6	EC	139392	145888	6496	QC	139749	145379	5630			
3	AhhhEeee, 7	EC	157212	171282	14070	QC	157919	170829	12910			
4	tongue and mouth, 8-9	EC	174662	192120	17458	QC	174549	192089	17540			
5	drift head, 12	EC	229317	239820	10503	QC	229608	238838	9230			
6	straight head, 13	EC	257266	314021	56755	QC	260688	314432	53744			
7	geste, 14	EC	340316	346472	6156	QC	340092	346742	6650			
8	turn, 15a	EC	351731	363621	11890	QC	352001	363461	11460			
9	updn, 15c	EC	380847	395431	14584	QC	380531	393641	13110			
10	tilt, 15b	EC	363621	378783	15162	QC	364081	377641	13560			
11	paper, 18	EC	449983	527435	77452	QC	450829	527068	76239			
12	arms pro, 20	EC	590408	603151	12743	QC	587397	603277	15880			
13	arms sup, 19	EC	567983	582821	14838	QC	569577	581627	12050			
14	elbows, 21	EC	612991	619541	6550	QC	613107	618877	5770			
15	fingernose, 22	EC	625734	652379	26645	QC	626307	652186	25879			
16	tapping, 23	EC	665614	687977	22363	QC	665816	688226	22410			
17	hands, 24	EC	693166	699242	6076	QC	693074	699844	6770			
18	feet, 25	EC	712661	734822	22161	QC	713154	734184	21030			
19	stand frontal, 26	EC	741825	748564	6739	QC	744034	748184	4150			
20	walk Normal, 30	EC	794894	804661	9767	QC	794903	805242	10339			
21	walk Heels, 31	EC	826380	843616	17236	QC	825031	844270	19239			
22	walk Tandom, 32	EC	873648	889416	15768	QC	874469	890189	15720			
