	stepnumber	reviewer1	start1	end1	duration1	reviewer2	start2	end2	duration2	intersect	union	inter/uni
0	eyes, 1-4	EC	9466	74967	65501	JV	9900	70800	60900			
1	sentences, 5	EC	82564	101175	18611	JV	80700	101700	21000			
2	TaGaPa, 6											
3	AhhhEeee, 7	EC	105005	113308	8303	JV	104200	113000	8800			
4	tongue and mouth, 8-9	EC	118332	139509	21177	JV	116200	139800	23600			
5	drift head, 12	EC	158995	168380	9385	JV	157900	168000	10100			
6	straight head, 13	EC	193362	245545	52183	JV	191700	246000	54300			
7	geste, 14	EC	271360	300725	29365	JV	269400	301600	32200			
8	turn, 15a	EC	306369	319570	13201	JV	304700	320500	15800			
9	updn, 15c	EC	335072	343032	7960	JV	333750	342650	8900			
10	tilt, 15b	EC	321236	332698	11462	JV	320850	332950	12100			
11	paper, 18	EC	403477	518297	114820	JV	401000	518100	117100			
12	arms pro, 20	EC	548205	557616	9411	JV	549150	557550	8400			
13	arms sup, 19	EC	534298	545462	11164	JV	534200	546400	12200			
14	elbows, 21	EC	559787	567124	7337	JV	562100	567400	5300			
15	fingernose, 22	EC	570696	589158	18462	JV	570500	590300	19800			
16	tapping, 23	EC	599729	609467	9738	JV	598700	609700	11000			
17	hands, 24	EC	609908	615119	5211	JV	610250	616150	5900			
18	feet, 25	EC	618765	633978	15213	JV	616850	634750	17900			
19	stand frontal, 26	EC	642690	647923	5233	JV	642800	648600	5800			
20	walk Normal, 30	EC	688070	699635	11565	JV	688500	702000	13500			
21	walk Heels, 31	EC	717738	726808	9070	JV	716300	728100	11800			
22	walk Tandom, 32	EC	758387	782485	24098	JV	748150	783650	35500			
